Respondent,Assignment,Activities,Airline.01a_OE (Pre20),Airline.01b_OE (Pre20),Airline.01c_OE (Pre20),Airline.02a_OE (Pre20),Airline.02b_OE (Pre20),Airline.02c_OE (Pre20),Airline.02d_OE (Pre20),Crude.2a_OE,Crude.2bc_MCOE (Pre 19),Crude.2bc_MCOE (Pre 19) follow up,Crude.3a_MC (Pre19 v2),Crude.3bc_MCOE (Pre19 v2),Crude.3bc_MCOE (Pre19 v2) follow up,Crude.04ab_MCOE (Pre19),Crude.04ab_MCOE (Pre19) follow up,Crude.06_OE (Pre19 v2),Crude.06_OE (Pre19 v2) follow up,Crude.06a_MC (Pre20),Crude.06bc_OE (Pre20 ),Crude.06bc_OE (Pre20 ) follow up,Crude.2a_MC (Pre20),Crude.2b_MC_sort,Crude.2b_MC [119]_1,Crude.2b_MC [119]_2,Crude.2b_MC_drag (Pre20),Crude.2b_MC_drag (Pre20)_1,Crude.2b_MC_drag (Pre20)_2,Wildlife .01a_OE (Pre20),Wildlife .01b_OE (Pre20),Wildlife .01c_OE (Pre20),DDT.02a_OE (Pre19),DDT.02b_OE (Pre19),Word.MC.01 (Pre 19),Word.03_MC (Pre 19),Word.04a_OE (Pre 19),Word.04b_OE  (Pre19),Glow.01a.MC_NoLabels,Glow.01c.MC,Glow.02a.MC,Glow.02b.MC,Glow.02c.MC,Glow.03a.MC,Glow.03b.MC.grh,Glow.03b.MC.eq,Glow.04a.MC,Glow.04b.MC.grh,Glow.04b.MC.eq,Pop.01_MC (Pre20) [12],Pop.02_MC (Pre20) [12],Pop.03ab_MCOE (Pre20) [66],Pop.03ab_MCOE (Pre20) [66] follow up,Pop.04_OE (Pre20) [13-16],Pop.04_OE (Pre20) [13-16]_1,Pop.04_OE (Pre20) [13-16]_2,Pop.04_OE (Pre20) [13-16]_3,Pop.04_OE (Pre20) [13-16]_4,Pop.04_MC_drag (Pre20) [ ],Pop.04_MC_drag (Pre20) [ ]_1,Pop.04_MC_drag (Pre20) [ ]_2,Pop.04_MC_drag (Pre20) [ ]_3,Pop.04_MC_drag (Pre20) [ ]_4,Pop.07ab_OE,Pop.07ab_OE follow up,Pop.09ab_MCOE (Pre20),Pop.09ab_MCOE (Pre20) follow up,Pop.09_MC_sort (Pre20),Population.09_MCMC_1,Population.09_MCMC_2,Pop.10ab_MCOE (Pre20),Pop.10ab_MCOE (Pre20) follow up,Pop.10_MC_sort (Pre20),Population.10_MCMC_1,Population.10_MCMC_2,Cycle.02_MC_sort (Pre20),Cycle.02_MC_1,Cycle.02_MC_2,Cycle.02_MC_3,Cycle.02_MC_4,Cycle.03a_OE (Pre19),Cycle.3a_MC_S,Cycle.3a_MC_1,Cycle.04ab_MCOE [22],Cycle.04ab_MCOE [22] follow up,Pest.02a_MC,Pest.02b_OE,Pest.03_OE (Pre19),Pest.03_OE (Pre19)_1,Pest.03_OE (Pre19)_2,Pest.03_OE (Pre19)_3,Pest.03_OE (Pre19)_4,Pest.03_MC_drag,Pest.03_MC_drag_1,Pest.03_MC_drag_2,Pest.03_MC_drag_3,Pest.03_MC_drag_4,Pest.05.05a_MCOE,Pest.05.05a_MCOE follow up,Pest.06a_MC,Pest.06b_OE,Pest.06ab_MC_sort (Pre20),Pest.06_MCMC_1,Pest.06_MCMC_2,Pest.07a_MC,Pest.07ab_OE,Pest.07ab_MC_sort,Pest.07_MCMC_1,Pest.07_MCMC_2,Pest.06_MC_drag,Pest.06_MC_drag_1,Pest.06_MC_drag_2,Pest.07ab_MC_drag (Pre 20),Pest.07ab_MC_drag (Pre 20)_1,Pest.07ab_MC_drag (Pre 20)_2,Water.01a_MC,Water.01b_OE,Water.01b_MC_sort (Pre20),Water.01b_MC_1,Water.01b_MC_drag (Pre20),Water.01b_MC_drag (Pre20)_1,Brake .02_MC (Pre20 no label),Garden.2.1_2.8_NU (Pre19),Garden.2.1_2.8_NU (Pre19)_1,Garden.2.1_2.8_NU (Pre19)_2,Garden.2.1_2.8_NU (Pre19)_3,Garden.2.1_2.8_NU (Pre19)_4,Garden.2.1_2.8_NU (Pre19)_5,Garden.2.1_2.8_NU (Pre19)_6,Garden.2.1_2.8_NU (Pre19)_7,Garden.05ab_MCOE  (Pre20),Garden.05ab_MCOE  (Pre20) follow up,Garden.02_MC (Pre20),D.04_grade_level,D.05_gender,D.09_Race_ethnicity,D.10_Math_courses,D.11_Apcourses,D.12_IB,D.02_Class,D.03_Teacher,D.08_hispanic_YN,D.06_English_LearnerYN,D.07_English_proficiency,D.01_Consent
207,393,PSM_Pretest_2020_E(c),,,,,,,,,,,,,,,,,,a,The trend for that decade increased significantly in comparison to the other decades.,Widespread of oil production in the decade can be increased and can lead to much more production.,c,,,,"Representation: 1;Reason(s): 7,2",b,"h,c","California is unique to the other states because although it has the highest amount of total vehicle collisions, the number of wildlife-vehicle conditions is significantly lower than the other states.","Looking at the other pieces of data, California has the lowest number of wildlife-vehicle collisions as well as the proportion of wildlife-vehicle collisions.",The reason for California's unique pattern may be due to the proportion of population in urban areas.,"One feature that the graph matches with the situation is a downward trend as the mass is decreasing as the years go by. However, one feature that does not match with the situation described above is the mass trend is not being halved every 15 years, making the graph incorrect to the situation.",One feature that the graph matches with the situation is a downward trend as the mass is decreasing as the years go by. Another feature that matches with the situation is the half lives being accurate (ex. 15 years = 1000/2 = 500).,,,She started at 12 words per minute when she should have started at 0 words per minute and make her way up from there (upward trend).,"Mason's graph is a downward trend, which should be the opposite way if they wanted to record the amount of words that they would memorize per minute.",d,,d,,a,,,,,,,a,c,,,=   The population     =   The starting population value    =   The growth rate    =   The amount of years since 1965,The population,The starting population value,The growth rate,The amount of years since 1965,,,,,,"As the projection for Newland's Food Supply go up, that will result in the growth of Newland's population.",The upward trend (growth rate) for Newland's population and the linear trend for the food supply.,a,"The graph above shows the projected Food Supply and Population, which can be helpful when showcasing the proposal.",,,,b,"The graph can only go so far in terms of the x and y axis, so the equation will probably be the more appropriate representations of the data.",,,,: d;: b;: c;: e,d,b,c,e,,: e,e,a,Angel reached their destination in less minutes than Robin.,d,"That equation is a representation for exponential growth, in which the graph showcases a positive trend, which is the most accurate.",,,,,,: 5; : 3;: 2;: 9,f,d,c,j,,,,,,,,,,,,,"Representation: 0;Reason(s): 3,6",a,"d,g",,,,,,,,,,b,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
210,396,PSM_Pretest_2020_C,,,,,,,,,,,,,,,,,,c,The graph.,You can visually see the differences in the patterns and see what is different from the rest of the graph.,c,,,,"Representation: 1;Reason(s): 2,7",b,"c,h",,,,"It loss half of its madd in 75 years, not 15.",n/a,,,"Mayas graph is wrong because this would mean ken was reading at a constant rate, which he wasn't.","Masons graph is wrong because ken reads more as time goes on, therefore he should be memorizing more at once.",c,,b,,a,,,,b,,a,a,b,,,=   Number of people    =   original population    =   rate of change    =   Years since 1965,Number of people,original population,rate of change,Years since 1965,,,,,,"2015 was the last year of recorded growth (instead of predicted) and during this year there's a significant difference between food and population, food being much greater.",the y values are about 15 million apart.,a,"The graph shows the predicted outcomes, whereas if someone were to look at the equations they'd probably assume that it wasn't as big of a deal.",,,,b,It would be a lot easier to plug the numbers into the equation and find what year that would happen then trying to search for the numbers on a graph with such a large scale.,,,,: d;: a;: c;: b,d,a,c,b,,": e,d,c","e,d,c",a,Angels graph ends before robins does,d,"Usually bacterial growth is represented on a exponential scale, because its growth is normally exponential.",=   spore density    =   growth     =   original value    =   time since planting,spore density,growth,original value,time since planting,,,,,,,,,,,,,,,,,,,,,,,,b,It has more water overtime.,,,,,b,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
218,404,PSM_Pretest_2020_B,,,,,,,,,,,,,,,,,,b,Many changes in direction and not a constant increase like some appear to be.,"Cost, need, national decisions.",c,,,,"Representation: 1;Reason(s): 2,5",b,"c,f",There is a significant less amount of wildlife-vehicle collisions compared to regular vehicle collisions.,values from the table under the wildlife-vehicle collisions and vehicle collisions.,"It is heavily populated and so since there are more people driving, it is more likely for a crash to occur.",The amount of DDT is not decreasing by half every 15 years.,Does decrease by half every 15 years,,,Number of words learned should not be a constant.,Should increase then flatten out instead of being flat and then decreasing.,d,,b,,a,,,,,,,d,b,,,=   Total amount     =   Initial amount    =   Rate of change    =   Number of years,Total amount,Initial amount,Rate of change,Number of years,,,,,,The relationship between Newland's population and food supply for the year 2015 is that there is a high supply of food compared to the population at the time.,The food supply seems to be about 2.5 times the needed amount given the population.,a,It shows how the population was once below the food supply but now is above meaning there is a shorting and the population will only continue to grow.,,,,b,"By using the equations above, we can plug in 1.25 to both equations to see when they are equal to each other and use that to show when the country will outstrip its food supply by 1.25 million people.",,,,: e;: a;: c;: b,e,a,c,b,,,,a,Angel has a greater slope meaning she has a greater rate of change.,c,asymptote would show the harvest time,,,,,,: 0; : 3;: 4;: 9,a,d,e,j,,,,,,,,,,,,,"Representation: 1;Reason(s): 4,7",b,"e,h","Representation: 1;Reason(s): 5,4",b,"f,e",b,,,,"Justification: 3,6","d,g",,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
216,402,PSM_Pretest_2020_D(c),Europe and Asia experience a pattern of rising and falling passenger arrivals during the same month of the year.,Europe and Asia demonstrate local minimums and maximums during the same time of the year.,Airports may experience this pattern because of the shifting seasons: people are more likely to travel in the summer rather than the winter because of the temperature; people may also have more free time during the summer months because they are off from school or work.,The time of year in which the passenger arrivals between Europe and Asia are largest is during the month of January,The difference between the height of the Asia graph and the Europe graph during the same month and year.,"Overall, people from Asia travel to San Francisco more often than people from Europe. As the amount of people who travel from Asia to SF go down because of the cooler weather, people who travel from Europe to SF will go down because of the same reason.","No because the overall pattern of both Asian and European travelers generally follow the same pattern, leading to no time of the year when the two data sets are drastically different.",,,,,,,,,,,b,The graph,Oil production may have increased drastically during this decade due to the rapid rate of industrialization.,c,,,,Representation: 1;Reason(s): 2,b,c,,,,"One feature that the graph correctly describes is the initial amount of DDT: 1,000 because the graph starts at 1,000. However, the graph does not consider that the mass of the DDT decreases exponentially. While the description explicitly states that DDT has a half life of 15 years, the graph shows that the DDT will meet half of its mass (500) after 75 years.","The graph does illustrate the general pattern of the reduction of the mass of DDT; however, a key data point is not very accurate on the graph: the mass of the DDT reaches half of its mass (500) after 15 years, but rough estimate of the graph shows the mass of the DDT at 500 grams when more than 15 years have passed. In order to demonstrate a more accurate trend, the graph should be steeper in the first half.",,,"Maya's graph claims that the process of Ken's memorization is constant, but Ken's memorization begins to slow down after 16 minutes of studying.","Mason's graph claims that after 16 minutes, Ken's memorization decreases linearly until 40 minutes. However, it is shown in the first graph that Ken's memorization steadies out, and even increases by little.",d,,d,,a,,,,b,,a,d,b,,,=   population of Newland     =   initial population (population in 1965)    =   rate of growth    =   years since 1965,population of Newland,initial population (population in 1965),rate of growth,years since 1965,,,,,,Newland's food supply is more than double the amount needed to sustain the population in 2015.,"In 2015, the rough estimate of the population of Newland is 12.5 million while the food supply can feed roughly 30 million. Because of this, it can be said that Newland has more than double of the food supply needed to sustain their people.",a,"While the equations are the backbone of the proposal, presenting the data visually to the congress members may be more appealing. They will be able to visually see the trend and growth of the food exportation the next 20 years.",,,,b,An equation will give a more accurate calculation than the rough estimate of a graph.,,,,: d;: a;: c;: b,d,a,c,b,,: e,e,a,"Robin's graph extends over a longer period of time than Angel's graph, meaning it took him a longer amount of time to hike the same distance.",d,The graph appears to be increasing exponentially and the equation allows for exponential growth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
213,399,PSM_Pretest_2020_A(c),,,,,,,,,b,"In the graph, you would have to calculate the slope for each interval, whereas on the table, you can quickly scan through the ones place and if there was a repeat, then you can subtract the two full numbers to see if they equal 110.",,,,,,,,a,There was a sharp incline on the graph that caused a dramatic increase and was really the only spike shown on the graph.,"It could be from technological advancements, and the start of the cold war, so mass production of machinery, missiles, and spacecraft could all have effect on it.",c,,,,,,,,,,"well the slope of the line is not constant in the situation, and should have a decreasing slope. Also, the amount of DDT should be 500 after 15 years, not 75.","This graph shows the correct representation of the situation described by showing exponential decay graph. the points line up to how they should be, with half the original amount graphed at 15 years.",,,"Maya's graph shows a constant slope, but in the original graph, the slope changes, so her graph is wrong.","Mason's graph accounts for the decrease in slope, but he has the decrease of the slope a constant decline. In the original graph, the slope does decrease, but it decreases in different increments than stated in Mason's.",a,,d,,a,,,,,,,d,a,,,=   number of people (millions)    =   initial population    =   growth rate    =   years since 1965,number of people (millions),initial population,growth rate,years since 1965,,,,,,They have a surplus amount of food for the population for the year 2015.,"The food supply line is much higher on the graph at the point where x=50 than the line of Newland's population, meaning that they can supply more people than there is.",a,They should use the graph as a representation so that they can show the congress members that they have more than enough food to be able to feed themselves and increase the exportation of the leftover foods.,,,,b,The congress members should use the equations and plug in 1.25 for Y to solve for X and then set equal to each other because the graph does not accurately show 1.25 million people on the Y-axis.,,,,: d;: a;: c;: b,d,a,c,b,,,,a,"The x-intercept for Angels graph represented the amount of minutes it took her to reach the ground level, and it was way before the endpoint of Robins graph at the top of the graph.",c,The vertical asymptote shown in the original graph is where the denominator can not equal zero.,,,,,,,,,,,,,,,,,,,,,,,"Representation: 0;Reason(s): 3,6",a,"d,g","Representation: 1;Reason(s): 5,2",b,"f,c",,,,,,,b,,,,,,,,,b,"A square is just the length multiplied by itself, or x^2. The outputs that go with the lengths fit this description.",a,****,****,****,****,****,****,****,****,****,,,****
215,401,PSM_Pretest_2020_E(c),,,,,,,,,,,,,,,,,,c,The graph made it a lot easier to see all of the data and easily compare different decades to each other.,There may have been a protest during that time to fight for worker's rights.,c,,,,Representation: 1;Reason(s): 2,b,c,"less                                                                     less than one percent of the total number of vehicle collisions were classified as ""wildlife-vehicle collisions"" in California, where as in the other states, the proportion was always equal to or greater than 2.42 percent.","The ""proportion of wildlife-vehicle collisions (%)"" column.",The majority of California's population lives in urban areas where there is much less wildlife to collide into.,"This is a graph a linear function, but the graph of the half-life of a material should be a decreasing exponential function. This graph is decreasing though, that matches the situation.",This graph matches the described situation fairly well. It is a decreasing exponential function and it seems that approximately every 15 years the total amount of DDT is halved.,,,"Maya's graph shows a constant rate of positive increase, but by looking at the initial function, M(t), we see that the rate at which Ken is learning words is not constant and eventually plateaus.","Mason's graph is close, however, the cusp at approximately x=16 does not accurately describe the rate of change of the graph M(t) at x=16. The plateau on the graph of M(t) at x=16 is concave and smooth; it does not abruptly change. The graph of Mason's graph should have a smoother transition. The average rate of change of M(t) is actually equal to zero from x=32 to x=40, this means that Mason's graph should have y coordinates of nearly zero starting at x=32.",e,,d,,a,,,,,,,d,a,,,=   The total population of Newland     =   The initial population of Newland    =   The percent increase in the population of Newland    =   Years since 1965,The total population of Newland,The initial population of Newland,The percent increase in the population of Newland,Years since 1965,,,,,,Newland had approximately twice as much food than population in 2015.,The graph of Newland's population and food supply as well as the y axis coordinates.,a,The most simple and easily understood presentation will be the one that is better understood by the population as a whole. They will be able to easily demonstrate their point and easily be understood if they choose to use the graph.,,,,b,"The equations will give a specific, calculated, concrete number that answers exactly the proposed question based on the approximate nature of the function. It would be difficult to read and get an exact number from the graph.",,,,: d;: a;: c;: b,d,a,c,b,,: e,e,a,The slope of Angel's decent is steeper than Robin's ascent.,d,The graph shows an exponential increase as x increases. The equation I chose is the only exponentially increasing function given.,,,,,,: 0; : 3;: 4;: 9,a,d,e,j,,,,,,,,,,,,,Representation: 0;Reason(s): 5,a,f,,,,,,,,,,d,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
217,403,PSM_Pretest_2020_C,,,,,,,,,,,,,,,,,,c,The large downward spike in the graph and the large value decrease on the table.,The Iran-Iraq War and decreased demand.,"c,e",,,,"Representation: 1;Reason(s): 2,5",b,"c,f",,,,Does not lose half its mass every 15 years.,Does lose half its mass every 15 years.,,,Doesn't start at a y-value of 0 and has a constant rate of change.,Doesn't start at a y-value of 0.,d,,b,,a,,,,b,,a,d,b,,,=   Number of People (millions)    =   Years since 1965    =   Growth Rate    =   (Years since 1965) - 1,Number of People (millions),Years since 1965,Growth Rate,(Years since 1965) - 1,,,,,,Newland has enough food to supply their population in 2015.,The y-value for food supply in 2015 is about 30 million people which is greater than the population in 2015 of 10-15 million people.,a,The graph clearly shows the population outgrowing the food supply over the next 20 years after 2015.,,,,b,It would be easier to calculate the exact value of greater than 1.25 million be solving for the year in the two equations.,,,,: d;: a;: c;: b,d,a,c,b,,: a,a,a,The red line reaches their destination closer to a time of 0 minutes than the blue line.,d,Represents a parabola.,=   Spore Density (N per plant)    =   Time since Planting (Months)    =   Rate of Growth    =   (Time since Planting (Months)) - 1,Spore Density (N per plant),Time since Planting (Months),Rate of Growth,(Time since Planting (Months)) - 1,,,,,,,,,,,,,,,,,,,,,,,,b,The are under Tunnel 2 is larger than the area under Tunnel 1.,,,,,c,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
220,406,PSM_Pretest_2020_F,The passengers are more likely to arrive in the summer of the given year than the winter.,The graph increases during the times marked July and decreases during the times marked January.,Traveling in the summer has become more popularized and is when many people have time off of school/work. It is also warmer in the United States and opens more attractions across the country.,The difference in passenger arrivals is largest in the winter because more passengers leave Asia in the winter than Europe.,The distance from the top of the graphs to the bottoms is more drastic in Europe than Asia.,Asia experiences a harsher winter than the United States and may see visiting San Francisco as a lighter alternative.,Yes because a drastic difference is shown in Europe's traveling and can be used to increase tourism in San Fransisco. Showing times when there are less people traveling may appeal to tourists because they will see it as a time that places will not be crowded.,,,,,,,,,,,c,The graph increases to 3000 mtoe and then declines before increasing again. This is the only area on the graph with a consistent decrease in mtoe.,The company could have seen a drop in employment and lost production workers. There also could have been an oil shortage due to an increase in automotives.,c,,,,"Representation: 1;Reason(s): 2,5",b,"c,f",,,,The line should not be linear because the value of DDT is not consistently changing. The value of DDT is different each time a half life is taken. The graph does match the decreasing values.,This graph matches the shape the graph needs to have because the values change depending on the y value but does not have a consistent relation to the years prior. This graph accurately represents how the mass of DDT will decrease every year.,,,"Maya's graph only represents the average time for the first point on Ken's graph (8,10). She did not graph the number of words per minute by the end of his studying.",Mason graphed the time over number of words memorized which causes his graph to decrease as the difference in the values decreases.,c,,b,,d,,,,b,,b,d,a,,,=   Number of people (millions)    =   Number of people x years since 1965    =   Increasing rate    =   years since 1965,Number of people (millions),Number of people x years since 1965,Increasing rate,years since 1965,,,,,,There was a greater food supply than population in Newland.,The food supply corresponds higher on the y-axis than the population.,b,The Department of Agriculture should use the graphs because it shows a timeline and includes the rate of growth for population and food supply.,,,,b,The congress members should use the equations because they can plug in the population and growth rate to find out what year the country will outstrip its food supply.,,,,: e;: d;: c;: b,e,d,c,b,,,,a,Angel's final point on the x-axis (time) is significantly closer to 0 than Robins.,d,The equation I chose is a growth rate equation which would include the rate at which the mold is growing since the kale was planted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,"Justification: 2,6","c,g",b,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
224,410,PSM_Pretest_2020_B,,,,,,,,,,,,,,,,,,c,The line on the graph mostly went down instead of up in this decade,Less of a demand for oil or less of a supply,c,,,,"Representation: 1;Reason(s): 2,7",b,"c,h",There is a much lower proportion of vehicle wildlife collisions,The proportion section,There isn’t much wildlife to hit in the urban areas and most of California’s population is in urban areas,It didn’t decrease by half after 15 years,The half life is correct . The graph matches,,,"Ken didn’t learn the same amount of words each minute, especially toward the end","Ken didn’t learn less words per minute at the end, he just didn’t learn any",a,,b,,d,,,,,,,d,b,,,=   Number of people (millions)    =   Initial population    =   Percent increasing    =   Years since 1965,Number of people (millions),Initial population,Percent increasing,Years since 1965,,,,,,There is a surplus of food supply for the population in this year,"I can see that the food supply line is above the population line, meaning there is a surplus of food",a,They should use the graph because it gives a visual of the equation which shows the Congress that the country needs more food to be able to meet the needs,,,,b,They should use the equations because you can plug in the numbers to tell you the exact projected year,,,,: d;: a;: c;: b,d,a,c,b,,,,a,Angels segment finished at a lesser time,d,"The exponent, since the graph is increasing exponentially",,,,,,: 0; : 3;: 4;: 9,a,d,e,j,,,,,,,,,,,,,"Representation: 1;Reason(s): 4,7",b,"e,h","Representation: 1;Reason(s): 4,5",b,"e,f",b,,,,"Justification: 2,3","c,d",,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
222,408,PSM_Pretest_2020_D(c),"They follow a similar pattern in that they dip down and increase similarly to each other, but Europe is significantly lower than Asia.","They way the graph is drawn, the color key, and the dates at the bottom helped with question c.",Less travel during winter months like January and more travel in summer months like July to be warmer.,Winter - January,The lines have greater difference at that time,Cause winter is cold,"No, I would like to have the places they are going and maybe where they are from in those general locations to decide if they wanted to come to San Francisco at the certain times.",,,,,,,,,,,b,"The spike in the graph, rather than the slower climb of the later years","Discovery of more oil, more people wanted to use it, more things were made to use it","b,c",,,,"Representation: 1;Reason(s): 2,5",b,"c,f",,,,"Never get to 0 grams of DDT, it just keeps getting smaller until it is pretty much nothing.","Unclear if that's where the curve would go, also hard to tell if it is 15 years for half of its mass, or when it was measured",,,"He doesn't learn the same rate of words over the amount of minutes, it slows.","Not a constant learning, as there is a bit of a learning curve there, and he doesn't lose the words he just retains them",d,,a,,a,,,,a,b,,d,b,,,=   Answer    =   Starting amount    =   How much you add    =   Time,Answer,Starting amount,How much you add,Time,,,,,,"They have enough food for 2015, but it starts to get shaky up by the 80 mark",Red line is lower than black line at 50,a,"Visuals are always better to show to a group of people as then not all of them have to understand math, they can just use their eyes",,,,a,Clearly shows a point of convergence where the people outgrow the food,,,,: d;: a;: c;: b,d,a,c,b,,: e,e,a,Steeper slope,d,"Takes it to an exponent, and also the equation is similar to the graph given in previous problems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
219,405,PSM_Pretest_2020_A(c),,,,,,,,,a,"The graph is clear from left to right and to count in between the years, while the graph cannot always be clear.",,,,,,,,a,The graph during the 60s had a very high increase unlike the other years.,"There was probably a higher demand for it, or more crude oil was found during that period.",c,,,,,,,,,,"It DOES include the amount of DDT and the measurement decreasing as years go by, but the graph DOES NOT have any mention of half life.","It DOES include the amount of DDT and the measurement decreasing as years go by, as well as show half life through the curve.",,,Maya's learning should not be constant. Each word will not take an exact time to learn; it will constantly vary.,"It is impossible for Mason to learn zero words after forty minutes, as well as know 1.2 words when the timing hasn't even started.",d,,d,,c,,,,,,,b,b,,,=   number of people (millions)    =   half life    =   rate of growth in population    =   years since 1965,number of people (millions),half life,rate of growth in population,years since 1965,,,,,,"Both will grow, but food supply will grow constantly as population grows exponentially","A linear graph means constant growth, and an exponential graph means exponential growth.",a,The graph is a visual representation that answers the questions that the equations would answer through lots of work.,,,,b,They can get an exact guess by plugging in the numbers they want.,,,,: d;: a;: c;: b,d,a,c,b,,,,a,She reaches the bottom of the graph before Robin reaches the top.,d,The question is asking about growth and the equation is a growth equation.,,,,,,,,,,,,,,,,,,,,,,,"Representation: 0;Reason(s): 3,5",a,"d,f",Representation: 1;Reason(s): 4,b,e,,,,,,,e,,,,,,,,,a,Do not include negative numbers. Negative area doesn't exist.,d,****,****,****,****,****,****,****,****,****,,,****
221,407,PSM_Pretest_2020_E(c),,,,,,,,,,,,,,,,,,c,"Using the graph, I examined what happened each decade and discovered the general trend was an increase. The only decade that didn't follow this was the 80s.","In the years before, we were locked in wartime production which may have caused an increase in demand for oil. Perhaps, the brief period of peace in the 80s caused a decrease in demand and therefore production. The 80s was also a decade of pushing for a healthier environment which may have lead to decreased demand and production.",c,,,,"Representation: 1;Reason(s): 2,5",b,"c,f","Their proportion of wildlife-vehicle collisions, as compared to their number of vehicle-vehicle collisions, is much smaller than in other states.","The number in the last column, or the proportion of wildlife-vehicle collisions.","The majority of California's population, and thus, the majority of their vehicular activity, is located in urban areas. Since there is less wildlife on urban roads, it would be reasonable to assume that this is why California has a smaller proportion of wildlife-vehicle collisions than other states.","The situation described above is one of exponential decrease. This graph does not match that because it is displaying linear decrease. Also, this graph intercepts the x-axis. In the situation described above, this would be impossible since continuously multiplying something by 0.5 will never get you an answer of zero.","The situation described above is one of exponential decrease. This graph matches that because that is the behavior it is displaying. Another feature of this graph that matches the situation is the fact that it only approaches zero, but never reaches it. In the described situation, the amount of DDT would get infinitely closer to zero, but would never be totally gone.",,,"Maya's graph is accurate but only until t=16, since this is where the original function's slope changes.","Mason's graph is more accurate than Maya's since it accounts for the change in slope of the original function. However, the x-intercept should be at 32, not 40, since that is when the original function has a slope of zero.",d,,d,,a,,,,,,,d,a,,,=   The population    =   The initial population    =   The rate at which the population is growing    =   Time,The population,The initial population,The rate at which the population is growing,Time,,,,,,The population is less than the number of people who could be fed with the food supply.,"The key tells me that the red solid line is population and the black solid line is food supply. From there, I looked at the x-axis, found 50, traced up and found that the red line was below the black line.",a,"It is much easier to understand how the two equations relate when looking at them in their graphical format. When looking at them graphed, the viewer can easily see the timeline, the intersection points, and the plot numbers. When just looking at the equations, the viewer would not have any of that information and would be much harder to convince.",,,,b,"Since the congress members are looking for an exact numerical value, it would be much easier to use the equations and set up an inequality than try to eyeball it on the graph. Also, the y-axis is going up by 15 (million) so trying to find where the lines differ by 1.25 (million) would be both difficult and unreliable.",,,,: d;: a;: c;: b,d,a,c,b,,: e,e,a,Angel's line reached the x-axis (her destination) before Robin's line reached the height of the graph (her destination).,d,It is the equation that shows exponential increase.,,,,,,: 0; : 3;: 4;: 9,a,d,e,j,,,,,,,,,,,,,"Representation: 0;Reason(s): 5,2",a,"f,c",,,,,,,,,,b,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
223,409,PSM_Pretest_2020_C,,,,,,,,,,,,,,,,,,a,graph,"you can see the largest and constant increase occurs at this time from the graph, it is harder to see it on the table with out doing math",c,,,,"Representation: 1;Reason(s): 2,5",b,"c,f",,,,"it does match the slope of losing half it's mass every 15 years, this is a constant loss of mass",the exponential loss matches the loss of half the mass every 1 years,,,"He did not learn words at a constant rate, it is clear from the original data that there are changes.","Is shows that at 16 minutes he was done learning new words, but it was until around the 32nd minute",c,,b,,c,,,,b,,a,d,b,,,=   number of people    =   the percent of increase each year    =   population    =   squared?,number of people,the percent of increase each year,population,squared?,,,,,,It is the point where there is the largest part of the food supply that is not being used,The gap between the population and the food supply,a,It's a visual and easier for the member to see what it being presented instead of listineng to numbers and not have an idea of what they mean.,,,,a,It is visual evidence to back up what their answer is,,,,: b;: a;: c;: e,b,a,c,e,,: e,e,a,"Looking at where the lines end of the x-axis, the red line ends first showing that he stopped hiking at that minute",d,it is the equation used when graphing a parabola,=   spore density    =   increase in 1 month    =   starting value    =   number of months,spore density,increase in 1 month,starting value,number of months,,,,,,,,,,,,,,,,,,,,,,,,a,"It stays at a higher y value that the tunnel 2 for most of the graph, so most of the time it is supplying more water",,,,,b,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
